site_country,asm,field_year,tpt_id_key,project_number,crop_code,target_code,site_name,requested_trials,priority,ton_recommendation,difference,overall_recommendation,total_country_capacity,percent_country_capacity,ton_percent_country_capacity
Argentina,AMX,2023,HA23ARGN5AMX,BIUC0002,ZEAMX,ZEAMD,ARG (Country group),1,2,2,+1,TON Increase,Argentina: 143,0.006993006993006993,0.013986013986013986
Argentina,LOR,2023,ID23ARGF2LOR,N-3973,PYUCO,QUADPE,ARG,5,2,9,+4,TON Increase,Argentina: 143,0.03496503496503497,0.06293706293706294
Argentina,LOR,2023,ID23ARGF6LOR,N-5972,PYUCO,"PSECSP, PSYLPC, QUADPE",ARG,4,1,3,-1,TON Decrease,Argentina: 143,0.027972027972027972,0.02097902097902098
Argentina,SCR,2023,HD23ARGM4SCR,N-8422,ZEAMD,"AMSSS, DIGSA, ECHCO, ELEIN, ERIBO",ARG,15,2,20,+5,TON Increase,Argentina: 143,0.1048951048951049,0.13986013986013987
Argentina,SCR,2023,HD23ARGM3SCR,N-8422,ZEAMD,"AMASS, DIGSA, ECHCO, ELEIN, ERIBO",ARG,15,1,26,+11,TON Increase,Argentina: 143,0.1048951048951049,0.18181818181818182
Argentina,JPX,2023,HA23ARG6CJPX,BIRXL046,ZEAMX,YYSTB,ARG (Country group),2,1,4,+2,TON Increase,Argentina: 143,0.013986013986013986,0.027972027972027972
Argentina,SCR,2023,HD23ARGS3SCR,N-7307,GLXMA,WWWW1,ARG,20,1,36,+16,TON Increase,Argentina: 143,0.13986013986013987,0.2517482517482518
Argentina,GGR,2023,FD23ARGT2GGR,N-5059,TRZAS,"LEPTNO, SEPTTR",ARG,4,1,5,+1,TON Increase,Argentina: 143,0.027972027972027972,0.03496503496503497
Argentina,MYX,2023,HA23ARGPDMYX,BIHT0002,YACKR,TTTTT,ARG (Country group),4,2,8,+4,TON Increase,Argentina: 143,0.027972027972027972,0.055944055944055944
Argentina,MYX,2023,HA23ARGPAMYX,BIHT0002,YACKR,TTTTT,ARG (Country group),3,2,6,+3,TON Increase,Argentina: 143,0.02097902097902098,0.04195804195804196
Argentina,GGR,2023,SD23ARGT8GGR,N-8017,TRZAS,"FUSASP, RHIZSP",ARG,2,1,1,-1,TON Decrease,Argentina: 143,0.013986013986013986,0.006993006993006993
Argentina,LOR,2023,FD23ARGF1LOR,N-7421,VACCO,BOTRCI,ARG,4,1,8,+4,TON Increase,Argentina: 143,0.027972027972027972,0.055944055944055944
Argentina,GGR,2023,FD23ARGS1GGR,N-8879,GLXMA,"CERCKI, CERCSO, CORYCA, PHAKPA, SEPTGL",ARG,22,2,13,-9,TON Decrease,Argentina: 143,0.15384615384615385,0.09090909090909091
Argentina,MYX,2023,HA23ARGTCMYX,BIHC0001,YACKR,"TTTDD, TTTMM",ARG (Country group),1,1,2,+1,TON Increase,Argentina: 143,0.006993006993006993,0.013986013986013986
Argentina,JWR,2023,SD23ARGM3JWR,"N-7993, N-8424",ZEAMD,DICLFU,ARG,6,1,12,+6,TON Increase,Argentina: 143,0.04195804195804196,0.08391608391608392
Argentina,MYX,2023,HA23ARGTIMYX,BIHC0001,YACKR,"TTTDD, TTTMM",ARG (Country group),1,1,1,0,TON Approves,Argentina: 143,0.006993006993006993,0.006993006993006993
Argentina,AMX,2023,HA23ARGN3AMX,BIUC0002,ZEAMD,"TTTDD, TTTMM, TTTTT",ARG (Country group),1,1,2,+1,TON Increase,Argentina: 143,0.006993006993006993,0.013986013986013986
